1,0.2,"VM+QNH Tổ 7, Khu Minh Tiến A|||Tổ 7, Kh2 Minh ..."
2,0.6,"VM+QNH 112 Thanh Niên|||Số 112 Thanh Niên , P...."
3,0.5,"VM+QNH 85 Trần Phú|||Số 99 Đường Trần Pha, P.C..."
4,0.5,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Trần Ph..."
5,0.4,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đoờng Trần Ph..."
6,0.7,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Trrrn Ph..."
7,0.8,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Tren Ph..."
8,0.9,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Tran Ph..."
9,0.1,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Trdn Ph..."
10,1.0,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Trần Ph..."
