1,0.2,"VM+QNH Tổ 7, Khu Minh Tiến A|||Tổ 7, Kh2 a ..."
2,0.6,"VM+QNH 112 Thanh Niên|||Số 112 Thanh a , P...."
3,0.2,"VM+QNH 85 Trần Phú|||Số 99 Đường a Pha, P.C..."
4,0.3,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Trần Ph..."
5,0.1,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 a Trần Ph..."
6,0.1,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Trrrn Ph..."
7,0.8,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đường Tren Ph..."
8,0.1,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 Đaường Tran Ph..."
9,0.2,"NHÀ a GD-TC CẨM PHẢ|||ĐC: 212 b Trdn Ph..."
10,1.0,"NHÀ SÁCH GD-TC CẨM PHẢ|||ĐC: 212 a Trần Ph..."
